title,rating,nigth_cost,date,details
"Tomahawk, Wisconsin, US",None,$342,May 30 – Jun 4,"12,321 kilometers away"
"Tahoe City, California, US",None,$413,May 22 – 27,"12,336 kilometers away"
"Pine Plains, New York, US",None,$332,Jun 4 – 9,"4,000 square meters"
"Argyll and Bute, UK",None,$182,Jun 9 – 16,70 hectares
"Mccarrs Creek, Australia",None,$442,May 23 – 28,"9,060 kilometers away"
"Otok Radelj, Croatia",None,$742,May 21 – 27,54 hectares
"Paraty, Brazil",None,$276,May 21 – 26,135 hectares
"Lakebay, Washington, US",None,$367,Jun 25 – 30,"11,447 kilometers away"
"Selat Sagawin, Indonesia",None,$145,May 20 – 27,28 hectares
"Placencia, Belize",None,$199,May 23 – 28,"8,000 square meters"
"Hultsfred N, Sweden",None,$141,Sep 30 – Oct 5,"3,000 square meters"
"Bali, Indonesia",None,$81,May 20 – 25,"4,517 kilometers away"
"Branford, Connecticut, US",None,$304,May 19 – 24,"2,000 square meters"
"Guna Yala Comarca, Panama",None,$62,May 19 – 24,"16,149 kilometers away"
"Kapaa, Hawaii, US",None,$276,Oct 20 – 25,"10,921 kilometers away"
"Bocas del Toro Province, Panama",None,$225,May 20 – 25,"6,000 square meters"
